序号,单词,翻译,美式音标,英式音标
55,abnormality,"n.变态n.畸形,异常性",[ˌæbnɔrˈmæləti],[ˌæbnɔ:ˈmælɪtɪ]
56,aboard,"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机、车)",[əˈbɔrd],[əˈbɔ:d]
57,abode,"n.住所,住处",[əˈboʊd],[əˈbəʊd]
58,abolish,"vt.废止,废除(法律、制度、习俗等)",[əˈbɑlɪʃ],[əˈbɒlɪʃ]
59,abolishment,"n.废止,革除,取消",[əˈbɔlɪʃmənt],[əˈbɒlɪʃmənt]
60,abolition,"n.废除, 废除奴隶制度",[ˌæbəˈlɪʃən],[ˌæbəˈlɪʃən]
61,abolitionist,"n.废除主义者,废奴主义者",[ˌæbəˈlɪʃənɪst],[ˌæbəˈlɪʃənɪst]
62,abominable,"adj.讨厌的,令人憎恶的",[əˈbɑmɪnəbl],[əˈbɒmɪnəbl]
63,abominate,"vt.痛恨,憎恶",[əˈbɑmɪnet],[əˈbɒmɪneɪt]
64,abomination,"n.憎恨,厌恶,可憎的事物",[əˌbɑmɪˈneʃn],[əˌbɒmɪˈneɪʃn]
65,aboriginal,"adj.土著的,原来的n.土著居民",[ˌæbəˈrɪdʒənəl],[ˌæbəˈrɪdʒənəl]
66,aborigines,"n.土著,原居民,(Aborigines)澳大利亚土著居民,(pl.)土生动物(或植物)群",[ˌæbəˈrɪdʒɪniz],[ˌæbəˈrɪdʒɪni:z]
67,abort,"vi.异常中断,中途失败,夭折,流产,发育不全n.中止计划[任务]",[əˈbɔrt],[əˈbɔ:t]
68,abortion,"n.流产,堕胎,失败,夭折,中止,早产",[əˈbɔrʃn],[əˈbɔ:ʃən]
69,abortive,"adj.早产的,流产的,失败的;adj.夭折的,异常终止的,中断的",[əˈbɔrtɪv],[əˈbɔ:tɪv]
70,abound,"vi.多,大量存在,富于,充满",[əˈbaʊnd],[əˈbaʊnd]
71,abounding,"adj.丰富的,大量的",[əˈbaʊndɪŋ],[əˈbaʊndɪŋ]
72,about,"adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于",[əˈbaʊt],[əˈbaʊt]
73,above,"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出",[əˈbʌv],[əˈbʌv]
74,aboveboard,adj.光明正大的,[əˈbʌvˈboʊrd],[əˈbʌvˈbɔ:d]
75,aboveground,"adv.在地上,未被埋葬地,活着",[əˈbʌvˌgraʊnd],[əˈbʌvˌgraʊnd]
76,abrade,"v.磨损,摩擦,折磨",[əˈbred],[əˈbreɪd]
77,abrasion,n.磨损,[əˈbreʒən],[əˈbreɪʒən]
78,abrasive,n.研磨剂;adj.研磨的,[əˈbresɪv],[əˈbreɪsɪv]
79,abreast,"adv.并肩地,并排地",[əˈbrɛst],[əˈbrest]
80,abridge,"v.删节,削减,精简",[əˈbrɪdʒ],[əˈbrɪdʒ]
81,abridged,"adj.削减的,删节的",[əˈbrɪdʒd],[əˈbrɪdʒd]
82,abridgement,"n.删节,缩短,删节本",[əˈbrɪdʒmənt],[əˈbrɪdʒmənt]
83,abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱",[əˈbrɔd],[əˈbrɔ:d]
84,abrogate,"vt.废除,取消",[ˈæbrəɡet],[ˈæbrəɡeɪt]
85,abrogation,"n.废除,取消",[ˌæbrəˈɡeʃn],[ˌæbrəˈɡeɪʃn]
86,abrupt,"adj.突然的,陡峭的,生硬的",[əˈbrʌpt],[əˈbrʌpt]
87,abruptly,"adv.突然地,唐突地",[əˈbrʌptli],[əˈbrʌptlɪ]
88,abscess,"n.脓肿,砂眼",[ˈæbˌsɛs],[ˈæbses]
89,abscise,"vt.切除vi.被切除,脱离",[æbˈsaɪz],[æbˈsaɪz]
90,abscissa,n.横坐标,[æbˈsɪsə],[æbˈsɪsə]
91,abscission,"n.切断,除去",[æbˈsɪʒən],[æbˈsɪʒən]
92,abscond,"vi.潜逃,避债",[əbˈskɑnd],[æbˈskɒnd]
93,abseil,n.(登山运动中的)沿绳滑下法,[ˈæpsaɪl],[ˈɑ:bzaɪl]
94,absence,"n.不在,缺席,缺乏,没有",[ˈæbsəns],[ˈæbsns]
95,absent,"adj.不在的,缺席的,缺少的;vt.缺席",[ˈæbsənt],[ˈæbsənt]
96,absentee,"n.缺席者,未上班者",[ˌæbsənˈti],[ˌæbsənˈti:]
97,absenteeism,"n.旷课,旷工",[æbsənˈtiˌɪzəm],[æbsənˈti:ɪzm]
98,absently,"adv.心不在焉地,茫然地",[ˈæbsəntli],[ˈæbsəntlɪ]
99,absolute,"adj.完全的,绝对的",[ˈæbsəlut],[ˈæbsəlu:t]
100,absolutely,"adv.完全地,绝对地",[ˈæbsəˌlutli],[ˈæbsəlu:tlɪ]
101,absolution,"n.免罪,赦免",[ˌæbsəˈluʃən],[ˌæbsəˈlu:ʃn]
102,absolutist,"n.专制主义者,专制政治论者,绝对论者",[ˈæbsəlutɪst],[ˈæbsəlu:tɪst]
103,absolve,v.宣布免除,[əbˈzɑlv],[əbˈzɒlv]
104,absorb,"vt.吸收,吸引",[əbˈzɔrb],[əbˈzɔ:b]
105,absorbable,"adj.可吸收的,容易被吸收的",[əbˈsɔrbəbl],[əbˈsɔ:bəbl]
106,absorbed,"adj.全神贯注的,一心一意的",[əbˈsɔrbd],[əbˈsɔ:bd]
107,absorbent,adj.能吸收的;n.吸收剂,[əbˈsɔrbənt],[əbˈsɔ:bənt]
108,absorber,"n.吸收者,吸收体,减震器",[əbˈsɔrbɚ],[əbˈsɔ:bə]
109,absorbing,"adj.吸引人的,非常有趣的",[əbˈsɔrbɪŋ],[əbˈsɔ:bɪŋ]
110,absorption,n.吸收,[əbˈzɔrpʃn],[əbˈsɔ:pʃən]
111,absorptivity,"n.[物][化]吸收率,吸收性",[ˌæbsɔpˈtɪvɪti],[ˌæbsɔ:pˈtɪvɪtɪ]
112,abstain,"v.禁绝,放弃",[æbˈsten],[əbˈsteɪn]
113,abstemious,"adj.有节制的,节约的",[æbˈstimiəs],[æbˈsti:mɪəs]
114,abstention,n.节制,[æbˈstɛnʃən],[əbˈstenʃən]
115,abstentious,adj.有节制的,[æbˈstenʃəs],[æbˈstenʃəs]
116,abstinence,"n.节制,节欲,戒酒",[ˈæbstənəns],[ˈæbstɪnəns]
117,abstinent,"adj.饮食有度的,有节制的,禁欲的;n.禁欲者",[ˈæbstɪnənt],[ˈæbstɪnənt]
118,abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化",[ˈæbstrækt],[ˈæbstrækt]
119,abstracted,"adj.心不在焉的,出神的",[æbˈstræktɪd],[æbˈstræktɪd]
120,abstraction,n.提取,[æbˈstrækʃən],[æbˈstrækʃən]
121,abstruse,"adj.奥妙的,深奥的",[æbˈstrus],[əbˈstru:s]
122,absurd,"adj.荒谬的,可笑的",[əbˈsɚd],[əbˈsɜ:d]
123,absurdity,"n.荒谬,谬论",[əbˈsɜdəti],[əbˈsɜ:dətɪ]
124,absurdly,"adv.荒谬地, 悖理地, 愚蠢地",[əbˈsɜdli],[əbˈsɜ:dlɪ]
125,abundance,"n.丰富,充裕,丰富充裕",[əˈbʌndəns],[əˈbʌndəns]
126,abundant,"adj.丰富的,充裕的,丰富,盛产,富于",[əˈbʌndənt],[əˈbʌndənt]
127,abundantly,adv.丰富地,[əˈbʌndəntli],[əˈbʌnd(ə)ntlɪ]
128,abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂",[əˈbjus],[əˈbju:s]
129,abusive,"adj.辱骂的,滥用的",[əˈbjusɪv],[əˈbju:sɪv]
130,abut,"v.邻接,毗邻",[əˈbʌt],[əˈbʌt]
131,abutment,"n.邻接,桥礅",[əˈbʌtmənt],[əˈbʌtmənt]
132,abuzz,"adj.嗡嗡的,嘁嘁喳喳的,活泼的",[əˈbʌz],[əˈbʌz]
133,abysmal,"adj.深不可测的,无底的",[əˈbɪzməl],[əˈbɪzməl]
134,abyss,n.深渊,[əˈbɪs],[əˈbɪs]
135,abyssal,"adj.深渊的,深海的",[əˈbɪsəl],[əˈbɪsəl]
136,ac,"Alternating Current,交流电;Armored Car,装甲车 交流(电);n.[化] 锕 `eIsi:`di:si:/交直流两用",[ækˈtɪnɪəm],[ækˈtɪnɪəm]
137,academia,"n.学术界,学术环境",[ˌækəˈdimiə],[ˌækəˈdi:mɪə]
138,academic,"adj.学院的,理论的",[ˌækəˈdɛmɪk],[ˌækəˈdemɪk]
139,academically,"adv.学术上,学理上",[ˌækəˈdemɪkli],[ˌækəˈdemɪklɪ]
140,academician,"n.学会会员,院士,大学生,学者",[ˌækədəˈmɪʃn],[əˌkædəˈmɪʃən]
141,academy,"n.(高等)专科院校,研究院,学会,学术团体,学院",[əˈkædəmi],[əˈkædəmɪ]
142,acarpous,"adj.[植]不结果的,无果实的",[eˈkɑrpəs],[eɪˈkɑ:pəs]
143,accede,"v.同意,加入,同意",[ækˈsid],[əkˈsi:d]
144,accelerate,"v.加速,促进",[əkˈsɛləˌret],[əkˈseləreɪt]
145,accelerated,adj.加速的,[ækˈseləˌretɪd],[əkˈseləreɪtɪd]
146,acceleration,n.加速度,[ækˌsɛləˈreʃən],[əkˌseləˈreɪʃn]
147,accelerative,"adj.加速的,催促的",[ækˈsɛləˌretɪv],[ækˈselərətɪv]
148,accelerator,"n.加速者,加速器",[ækˈsɛləˌretɚ],[əkˈseləreɪtə(r)]
149,accent,"n.重音,口音,重音符",[ˈæksɛnt],[ˈæksənt]
150,accentuate,"v.重读,强调,着重强调",[ækˈsɛntʃuˌet],[əkˈsentʃueɪt]
151,accept,"vt.接受,认可,承担,承兑vi.同意,承认",[ækˈsɛpt],[əkˈsept]
152,acceptability,n.可接受性,[əkˌseptəˈbɪləti],[əkˌseptəˈbɪlɪtɪ]
153,acceptable,"adj.可接受的,合意的",[əkˈˈsɛptəbəl],[əkˈseptəbl]
154,acceptably,adv.可以接受地,[əkˈseptəbli],[əkˈseptəblɪ]
155,acceptance,"n.接受,承诺,容忍,赞同,相信",əkˈsɛptəns],[əkˈsept(ə)ns]
156,acceptant,adj.容易接受的,[əkˈsɛptənt],[əkˈseptənt]
157,accepted,"adj.一般承认的,公认的",[əkˈseptɪd],[əkˈseptɪd]
158,acceptor,"n.接受者,接收器",[əkˈseptə],[əkˈseptə]
159,access,"n.通路,访问,入门vt.存取,接近",[ˈæksɛs],[ˈækses]
160,accessibility,"n.易接近,可到达的",[əkˌsɛsəˈbɪləti],[əkˌsesəˈbɪlətɪ]
161,accessible,"adj.易接近的,可到达的,易受影响的,可理解的",[ækˈsɛsəbəl],[əkˈsesəbl]
162,accession,"n.就职,就任,添加,增加",[ækˈsɛʃən],[ækˈseʃən]
163,accessories,n.[计] 附件,[əkˈsesərɪz],[əkˈsesərɪz]
164,accessory,"n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的",[əkˈsɛsəri],[əkˈsesərɪ]
165,accident,"n.意外事件,事故",[ˈæksɪdənt],[ˈæksɪdənt]
166,accidental,"adj.意外的,非主要的,附属的n.非本质属性,次要方面",[ˌæksɪˈdɛntl],[æksɪˈdentl]
167,accidentally,"adv.偶然地,意外地",[ˌæksɪˈdentəli],[æksɪˈdentəlɪ]
168,acclaim,"n.喝彩,欢呼v.欢呼,称赞",[əˈklem],[əˈkleɪm]
169,acclamation,"n.欢呼,喝彩,(以欢呼、鼓掌等表示的)拥护,赞成",[ˌækləˈmeʃən],[ˌækləˈmeɪʃn]
170,acclimate,"vt.使适应新环境,使服水土vi.服水土,适应",[ˈækləˌmet],[ˈækləmeɪt]
171,acclimation,"n.服水土,顺应,适应环境",[ˌækləˈmeʃn],[ˌækləˈmeɪʃn]
172,acclimatise,v.<主英>=acclimatize,[əˈklaɪmətaɪz],[əˈklaɪmətaɪz]
173,acclimatize,"vt.使适应(或习惯)新环境(或气候等),使服水土",[əˈklaɪmɚ ˌtaɪz],[əˈklaɪmətaɪz]
174,acclivity,n.[地]向上的斜坡,[əˈklɪvəti],[əˈklɪvɪtɪ]
175,accolade,"n.赞美,骑士爵位的授予,连谱号",[ˈækəˌled],[ˈækəleɪd]
176,accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应",[əˈkɑmədet],[əˈkɒmədeɪt]
177,accommodating,"adj.乐于助人的,随和的,善于适应新环境的",[əˈkɑmədetɪŋ],[əˈkɒmədeɪtɪŋ]
178,accommodation,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合",[əˌkɑməˈdeʃən],[əˌkɒməˈdeɪʃən]
179,accommodationist,"n.妥协者adj.妥协的,迁就的",[əˌkɑməˈdeʃənɪst],[əkɒməˈdeɪʃənɪst]
180,accommodator,n.调解人,[əˈkɒməˌdetə],[əˈkɒmədeɪtə]
181,accompaniment,"n.陪伴物,伴奏",[əˈkʌmpənimənt],[əˈkʌmpənɪmənt]
182,accompanist,n.伴奏者,[əˈkʌmpənɪst],[əˈkʌmpənɪst]
183,accompany,"vt.陪伴,伴奏",[əˈkʌmpəni],[əˈkʌmpənɪ]
184,accompanying,"adj.陪伴的,附随的",[əˈkʌmpənɪɪŋ],[əˈkʌmpənɪɪŋ]
185,accomplice,"n.同谋者,帮凶",[əˈkɑmplɪs],[əˈkʌmplɪs]
186,accomplish,"vt.完成,达到,实现",[əˈkɑmplɪʃ],[əˈkʌmplɪʃ]
187,accomplishable,"adj.可达成的,可完成的",[əˈkʌmplɪʃebl],[əˈkʌmplɪʃeɪbl]
188,accomplished,"adj.完成的,熟练的,多才多艺的",[əˈkɑmplɪʃt],[əˈkʌmplɪʃt]
189,accomplishment,ns//n.造诣,[əˈkɑmplɪʃmənt],[əˈkɒmplɪʃmənt]
190,accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合",[əˈkɔrd],[əˈkɔ:d]
191,accordance,"n.一致,和谐",[əˈkɔrdns],[əˈkɔ:dəns]
192,accordant,adj.一致的,[əˈkɔdənt],[əˈkɔ:dənt]
193,according,adv.依照,[əˈkɔdɪŋ],[əˈkɔ:dɪŋ]
194,accordingly,"adv.因此,从而",[əˈkɔrdɪŋli],[əˈkɔ:dɪŋlɪ]
195,accordion,n.手风琴adj.可折叠的,[əˈkɔrdiən],[əˈkɔ:djən]
196,accost,"vt.对...说话,搭话",[əˈkɔst],[əˈkɒst]
197,account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为",[əˈkaʊnt],[əˈkaʊnt]
198,accountability,"n.有责任,有义务,可说明性",[əˌkaʊntəˈbɪləti],[əˌkaʊntəˈbɪlɪtɪ]
199,accountable,"adj.应负责的,有责任的,可解释的",[əˈkaʊntəbəl],[əˈkaʊntəbl]
200,accountancy,"n.会计师之职,会计学",[əˈkaʊntənsi],[əˈkaʊntənsɪ]
201,accountant,"n.会计(员),会计师",[əˈkaʊntənt],[əˈkaʊntənt]
202,accounting,"n.会计学,清算帐目",[əˈkaʊntɪŋ],[əˈkaʊntɪŋ]
203,accounts,"帐目,帐号",[əˈkaʊnts],[əˈkaʊnts]
204,accouter,"vt.供以服装,供以军用品,装备",[əˈkutə],[əˈku:tə(r)]
205,accoutre,"vt.供以服装,供以军用品,装备",[əˈku:tɚ],[əˈku:tə(r)]
206,accoutrements,"n.军人的配备,服装",[əˈku:trəmənts],[əˈku:trəmənts]
207,accredit,"vt.信任,授权,归于",[əˈkrɛdɪt],[əˈkredɪt]
208,accreditation,"n.委派,信赖,鉴定合格",[əˌkrɛdɪˈteʃən],[əˌkredɪˈteɪʃn]
209,accredited,"adj.可接受的,可信任的,公认的,质量合格的",[əˈkrɛdɪtɪd],[əˈkredɪtɪd]
210,accrete,"vi.共生,合生,附着;vt.使依附,使连接;adj.共生的",[əˈkrit],[əˈkri:t]
211,accretion,n.增长,[əˈkriʃən],[əˈkri:ʃn]
212,accrual,"n.获利,利息,自然增长",[əˈkruəl],[əˈkru:əl]
213,accrue,"vi.自然增加,产生",[əˈkru],[əˈkru:]
214,acculturate,vi.适应文化;vt.使适应文化,[əˈkʌltʃəret],[əˈkʌltʃəˌreɪt]
215,acculturation,"n.文化传入,文化适应",[əˌkʌltʃəˈreʃn],[əˌkʌltʃəˈreɪʃən]
216,accumulate,"v.积聚,堆积",[əˈkjumjulet],[əˈkju:mjuleɪt]
217,accumulation,"n.积聚,堆积物",[əˌkjumjəˈleʃən],[əkju:mjuˈleɪʃ(ə)n]
218,accumulative,"adj.积聚的,累积的",[əˈkjumjəˌletɪv],[əˈkju:mjələtɪv]
219,accumulator,"n.<英>蓄电池,积聚者",[əˈkjumjəˌletɚ],[əˈkju:mjəleɪtə(r)]
220,accuracy,"n.精确性,正确度",[ˈækjərəsi],[ˈækjurəsɪ]
221,accurate,"adj.正确的,精确的",[ˈækjʊrət],[ˈækjʊrət]
222,accurately,"adv.正确地,精确地",[ˈækjərətli],[ˈækjərətlɪ]
223,accusation,"n.谴责,[律]指控",[ˌækjuˈzeʃən],[ækjuˈzeɪʃən]
224,accusatory,"adj.非难的,控诉的,指责的",[əˈkjuzətɔri],[əˈkju:zətərɪ]
225,accuse,"vt.控告,谴责,非难",[əˈkjuz],[əˈkju:z]
226,accused,n.被告,[əˈkjuzd],[əˈkju:zd]
227,accuser,n.原告,[əˈkjuzɚ],[əˈkju:zə]
228,accusingly,adv.责难地,[əˈkjuzɪŋli],[əˈkju:zɪŋlɪ]
229,accustom,vt.使习惯于,[əˈkʌstəm],[əˈkʌstəm]
230,accustomed,"adj.通常的,习惯的,按照风俗习惯的",[əˈkʌstəmd],[əˈkʌstəmd]
231,accutron,n.电子手表,[ˈækju:trɒn],[ˈækju:trɒn]
232,ace,"n.(纸牌或骰子)幺点,王牌飞行员(击落敌机五架以上者);adj.一流的;[军]Allied Command Europe,欧洲盟军司令部",[es],[eɪs]
233,acedia,"n.懒惰,绝望",[əˈsidɪɚ],[əˈsi:dɪə]
234,acentric,"adj.无中心的,离心的",[eˈsɛntrɪk],[eɪˈsentrɪk]
235,acerbic,"adj.酸的,尖刻的",[əˈsɚbɪk],[əˈsɜ:bɪk]
236,acerbity,"n.涩,酸,刻薄",[əˈsɜbəti],[əˈsɜ:bətɪ]
237,acetate,"n.[化]醋酸盐,醋酸纤维素及其制成的产品",[ˈæsɪˌtet],[ˈæsɪteɪt]
238,acetic,"adj.[化]醋的,乙酸的",[əˈsitɪk],[əˈsi:tɪk]
239,ache,"n.疼痛vi.觉得疼痛,渴望",[ek],[eɪk]
240,achievable,"adj.做得成的,可完成的,可有成就的",[əˈtʃivəbl],[əˈtʃi:vəbl]
241,achieve,"vt.完成,达到",[əˈtʃiv],[əˈtʃi:v]
242,achievement,"n.成就,功绩",[əˈtʃivmənt],[əˈtʃi:vmənt]
243,aching,"adj.痛的,疼痛的,心痛的",[ˈekɪŋ],[ˈeɪkɪŋ]
244,achromatic,"adj.消色差的,非彩色的",[ˌækrəˈmætɪk],[ˌækrəʊˈmætɪk]
245,achromatopsia,n.色盲,[əˌkroməˈtɑpsɪə],[əkrəʊməˈtɒpsɪə]
246,acid,"n.酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的;""atomicity,consistency,isolation,and durability"" 原子性,一致性,不相关性和持久性",[ˈæsɪd],[ˈæsɪd]
247,acidic,"adj.酸的,酸性的",[əˈsɪdɪk],[əˈsɪdɪk]
248,acidification,"n.使发酸,酸化,成酸性",[əˌsɪdəfɪˈkeʃən],[əˌsɪdɪfɪˈkeɪʃən]
249,acidify,"vt.使酸化,使成酸;vi.变酸",[əˈsɪdɪfai],[əˈsɪdɪfaɪ]
250,acidity,"n.酸度,酸性,[医]酸过多,胃酸过多",[əˈsɪdɪti],[əˈsɪdɪtɪ]
251,acidosis,"n.酸液过多症,酸毒症",[ˌæsɪˈdosɪs],[ˌæsɪˈdəʊsɪs]
252,acidulous,"adj.多少带酸味的,不悦的",[əˈsɪdʒələs],[əˈsɪdjuləs]
253,acknowledge,"vt.承认,答谢,报偿",[əkˈnɑlɪdʒ],[əkˈnɒlɪdʒ]
254,acknowledged,adj.公认的,[əkˈnɒlɪdʒd],[əkˈnɒlɪdʒd]
255,acknowledgement,"n.承认,确认,竧 of receipt//回执行",[əkˈnɑlɪdʒmənt],[əkˈnɒlɪdʒmənt]
256,acknowledgment,"n.承认,承认书,感谢",[ækˈnɑlɪdʒmənt],[əkˈnɒlɪdʒmənt]
257,acme,"n.顶点,极致",[ˈækmi],[ˈækmɪ]
258,acne,"n.痤疮,粉刺",[ˈækni],[ˈæknɪ]
259,acolyte,"n.侍僧,助手",[ˈækəˌlaɪt],[ˈækəlaɪt]
260,acorn,"n.[植]橡树果,橡子",[ˈekɔrn],[ˈeɪkɔ:n]
261,acoustic,"adj.有关声音的,声学的,音响学的",[əˈkustɪk],[əˈku:stɪk]
262,acoustical,"adj.听觉的,声学的",[əˈkustɪkl],[əˈku:stɪkl]
263,acoustics,n.声学,[əˈkustɪks],[əˈku:stɪks]
264,acquaint,"vt.使熟知,通知",[əˈkwent],[əˈkweɪnt]
265,acquaintance,"n.相识,熟人",[əˈkwentəns],[əˈkweɪntəns]
266,acquainted,"adj.有知识的,知晓的",[əˈkwentɪd],[əˈkweɪntɪd]
267,acquiesce,"vi.默许,勉强同意",[ˌækwiˈɛs],[ˌækwɪˈes]
268,acquiescence,n.默许,[ˌækwiˈɛsəns],[ˌækwɪˈesns]
269,acquiescent,"adj.默许的,默从的",[ˌækwɪˈesnt],[ˌækwɪˈesnt]
270,acquire,"vt.获得,学到",[əˈkwaɪɚ],[əˈkwaɪə]
271,acquired,"adj.已获得的,已成习惯的,后天通过自己的努力得到的",[əˈkwaɪrd],[əˈkwaɪəd]
272,acquirement,"n.取得,习得",[əˈkwaɪəmənt],[əˈkwaɪəmənt]
273,acquisition,"n.获得,获得物",[ˌækwɪˈzɪʃən],[ˌækwɪˈzɪʃən]
274,acquisitive,"adj.想获得的,有获得可能性的,可学到的",[əˈkwɪzɪtɪv],[əˈkwɪzɪtɪv]
275,acquit,"vt.宣告无罪,脱卸义务和责任,还清(债务)",[əˈkwɪt],[əˈkwɪt]
276,acquittal,n.宣判无罪,[əˈkwɪtl],[əˈkwɪtl]
277,acre,"n.英亩,(pl.)地产,大片田地",[ˈekɚ],[ˈeɪkə]
278,acreage,"n.英亩数,面积",[ˈekərɪdʒ],[ˈeɪkərɪdʒ]
279,acrid,"adj.辛辣的,(言语或语调)刻薄的",[ˈækrɪd],[ˈækrɪd]
